campaign_id,business_number,ownership_id,ent_id,description,content_provider,campaign_name,campaign_type,content_rating,campaign_status,content_type,created_by,modified_by,created_timestamp,modified_timestamp,call_to_action,opt_out_keywords,customer_experience,how_to_opt_out
CAMP001,BN-100000000,OWN-2000,ENT-3000,Onboarding for online fashion store – Winter Sale flow 1,Twilio,Online Fashion Store Winter Sale,MARKETING,GENERAL,ACTIVE,SMS,alice@example.com,alice@example.com,2025-01-01T09:00:00,2025-01-01T13:00:00,Reply YES to join rewards,"STOP, CANCEL",Customers receive a welcome SMS and then weekly updates.,Reply STOP to any message.
CAMP002,BN-100000001,OWN-2001,ENT-3001,Onboarding for grocery delivery app – Loyalty Program flow 2,Infobip,Grocery Delivery App Loyalty Program,UTILITY,AGE_13_PLUS,PENDING_REVIEW,MMS,bob@example.com,bob@example.com,2025-01-02T09:00:00,2025-01-02T13:00:00,Tap the link to track your order,"STOP, END, QUIT",Users get transactional alerts only when they perform actions.,Text STOP to 12345 at any time.
CAMP003,BN-100000002,OWN-2002,ENT-3002,Onboarding for fitness studio – Delivery Alerts flow 3,Sinch,Fitness Studio Delivery Alerts,INFORMATIONAL,GENERAL,PAUSED,SMS,carol@example.com,carol@example.com,2025-01-03T09:00:00,2025-01-03T13:00:00,Show this SMS in store to redeem,STOP to unsubscribe,Subscribers receive up to 3 promo messages per month.,Use the link in the SMS footer to manage preferences.
CAMP004,BN-100000003,OWN-2003,ENT-3003,Onboarding for dental clinic – Appointment Reminders flow 4,Twilio,Dental Clinic Appointment Reminders,MARKETING,AGE_13_PLUS,ACTIVE,MMS,alice@example.com,alice@example.com,2025-01-04T09:00:00,2025-01-04T13:00:00,Confirm your visit by replying 1,"STOP, CANCEL",Members get birthday offers and status updates.,Reply STOP to any message.
CAMP005,BN-100000004,OWN-2004,ENT-3004,Onboarding for electronics retailer – Winter Sale flow 5,Infobip,Electronics Retailer Winter Sale,UTILITY,GENERAL,PENDING_REVIEW,SMS,bob@example.com,bob@example.com,2025-01-05T09:00:00,2025-01-05T13:00:00,Reply YES to join rewards,"STOP, END, QUIT",Customers receive a welcome SMS and then weekly updates.,Text STOP to 12345 at any time.
CAMP006,BN-100000005,OWN-2005,ENT-3005,Onboarding for online fashion store – Loyalty Program flow 6,Sinch,Online Fashion Store Loyalty Program,INFORMATIONAL,AGE_13_PLUS,PAUSED,MMS,carol@example.com,carol@example.com,2025-01-06T09:00:00,2025-01-06T13:00:00,Tap the link to track your order,STOP to unsubscribe,Users get transactional alerts only when they perform actions.,Use the link in the SMS footer to manage preferences.
CAMP007,BN-100000006,OWN-2006,ENT-3006,Onboarding for grocery delivery app – Delivery Alerts flow 7,Twilio,Grocery Delivery App Delivery Alerts,MARKETING,GENERAL,ACTIVE,SMS,alice@example.com,alice@example.com,2025-01-07T09:00:00,2025-01-07T13:00:00,Show this SMS in store to redeem,"STOP, CANCEL",Subscribers receive up to 3 promo messages per month.,Reply STOP to any message.
CAMP008,BN-100000007,OWN-2007,ENT-3007,Onboarding for fitness studio – Appointment Reminders flow 8,Infobip,Fitness Studio Appointment Reminders,UTILITY,AGE_13_PLUS,PENDING_REVIEW,MMS,bob@example.com,bob@example.com,2025-01-08T09:00:00,2025-01-08T13:00:00,Confirm your visit by replying 1,"STOP, END, QUIT",Members get birthday offers and status updates.,Text STOP to 12345 at any time.
CAMP009,BN-100000008,OWN-2008,ENT-3008,Onboarding for dental clinic – Winter Sale flow 9,Sinch,Dental Clinic Winter Sale,INFORMATIONAL,GENERAL,PAUSED,SMS,carol@example.com,carol@example.com,2025-01-09T09:00:00,2025-01-09T13:00:00,Reply YES to join rewards,STOP to unsubscribe,Customers receive a welcome SMS and then weekly updates.,Use the link in the SMS footer to manage preferences.
CAMP010,BN-100000009,OWN-2009,ENT-3009,Onboarding for electronics retailer – Loyalty Program flow 10,Twilio,Electronics Retailer Loyalty Program,MARKETING,AGE_13_PLUS,ACTIVE,MMS,alice@example.com,alice@example.com,2025-01-10T09:00:00,2025-01-10T13:00:00,Tap the link to track your order,"STOP, CANCEL",Users get transactional alerts only when they perform actions.,Reply STOP to any message.
